year,month,weekday,open,high,low,close,volume,pre_open,pre_open_2,pre_high,pre_high_2,pre_low,pre_low_2,pre_close,pre_close_2,pre_vol,pre_vol_2,pre_average,pre_average_2,average,tomorrows_average,target
2010,January,Wednesday,497.69482421875,497.69482421875,497.69482421875,497.69482421875,10729.0,506.9456058093061,477.712974835538,509.9799062745651,503.8373652466576,506.9456058093061,477.712974835538,497.69482421875,497.69482421875,10729.0,13401.0,502.320215014028,487.703899527144,497.69482421875,505.2065310233893,1
2010,January,Thursday,507.1677007186535,507.1677007186535,503.245361328125,503.245361328125,6169.0,497.69482421875,506.9456058093061,497.69482421875,509.9799062745651,497.69482421875,506.9456058093061,497.69482421875,497.69482421875,10729.0,10729.0,497.69482421875,502.320215014028,505.2065310233893,503.245361328125,0
2010,January,Friday,503.245361328125,503.245361328125,503.245361328125,503.245361328125,6169.0,507.1677007186535,497.69482421875,507.1677007186535,497.69482421875,503.245361328125,497.69482421875,503.245361328125,497.69482421875,6169.0,10729.0,505.2065310233893,497.69482421875,503.245361328125,503.245361328125,0
2010,January,Monday,503.245361328125,503.245361328125,503.245361328125,503.245361328125,6169.0,503.245361328125,507.1677007186535,503.245361328125,507.1677007186535,503.245361328125,503.245361328125,503.245361328125,503.245361328125,6169.0,6169.0,503.245361328125,505.2065310233893,503.245361328125,499.5450439453125,0
2010,January,Tuesday,499.5450439453125,499.5450439453125,499.5450439453125,499.5450439453125,6169.0,503.245361328125,503.245361328125,503.245361328125,503.245361328125,503.245361328125,503.245361328125,503.245361328125,503.245361328125,6169.0,6169.0,503.245361328125,503.245361328125,499.5450439453125,499.8780573909736,1
2010,January,Wednesday,496.5107534538222,496.5107534538222,496.5107534538222,503.245361328125,3017.0,499.5450439453125,503.245361328125,499.5450439453125,503.245361328125,499.5450439453125,503.245361328125,499.5450439453125,503.245361328125,6169.0,6169.0,499.5450439453125,503.245361328125,499.8780573909736,501.3951721191406,1
2010,January,Thursday,501.3951721191406,501.3951721191406,501.3951721191406,501.3951721191406,3017.0,496.5107534538222,499.5450439453125,496.5107534538222,499.5450439453125,496.5107534538222,499.5450439453125,503.245361328125,499.5450439453125,3017.0,6169.0,499.8780573909736,499.5450439453125,501.3951721191406,495.8446764055175,0
2010,January,Friday,492.1443088657224,492.1443088657224,492.1443088657224,499.5450439453125,1862.0,501.3951721191406,496.5107534538222,501.3951721191406,496.5107534538222,501.3951721191406,496.5107534538222,501.3951721191406,503.245361328125,3017.0,3017.0,501.3951721191406,499.8780573909736,495.8446764055175,501.3951721191406,1
2010,January,Monday,501.3951721191406,501.3951721191406,501.3951721191406,501.3951721191406,1862.0,492.1443088657224,501.3951721191406,492.1443088657224,501.3951721191406,492.1443088657224,501.3951721191406,499.5450439453125,501.3951721191406,1862.0,3017.0,495.8446764055175,501.3951721191406,501.3951721191406,499.5450439453125,0
2010,January,Tuesday,499.5450439453125,499.5450439453125,499.5450439453125,499.5450439453125,1862.0,501.3951721191406,492.1443088657224,501.3951721191406,492.1443088657224,501.3951721191406,492.1443088657224,501.3951721191406,499.5450439453125,1862.0,1862.0,501.3951721191406,495.8446764055175,499.5450439453125,488.444020477566,0
2010,January,Wednesday,492.1443275762257,492.1443275762257,492.1443275762257,484.7437133789063,6705.0,499.5450439453125,501.3951721191406,499.5450439453125,501.3951721191406,499.5450439453125,501.3951721191406,499.5450439453125,501.3951721191406,1862.0,1862.0,499.5450439453125,501.3951721191406,488.444020477566,484.7437133789063,0
2010,January,Thursday,484.7437133789063,484.7437133789063,484.7437133789063,484.7437133789063,6705.0,492.1443275762257,499.5450439453125,492.1443275762257,499.5450439453125,492.1443275762257,499.5450439453125,484.7437133789063,499.5450439453125,6705.0,1862.0,488.444020477566,499.5450439453125,484.7437133789063,481.0433349609375,0
2010,January,Friday,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,6705.0,484.7437133789063,492.1443275762257,484.7437133789063,492.1443275762257,484.7437133789063,492.1443275762257,484.7437133789063,484.7437133789063,6705.0,6705.0,484.7437133789063,488.444020477566,481.0433349609375,481.0433349609375,0
2010,January,Monday,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,6705.0,481.0433349609375,484.7437133789063,481.0433349609375,484.7437133789063,481.0433349609375,484.7437133789063,481.0433349609375,484.7437133789063,6705.0,6705.0,481.0433349609375,484.7437133789063,481.0433349609375,481.0433349609375,0
2010,January,Tuesday,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,6705.0,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,6705.0,6705.0,481.0433349609375,481.0433349609375,481.0433349609375,486.59379478601795,1
2010,January,Wednesday,492.1442546110984,492.1442546110984,492.1442546110984,481.0433349609375,980.0,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,481.0433349609375,6705.0,6705.0,481.0433349609375,481.0433349609375,486.59379478601795,464.3917675292021,0
2010,January,Thursday,469.9422874998105,469.9422874998105,451.4406350401871,458.84124755859375,40416.0,492.1442546110984,481.0433349609375,492.1442546110984,481.0433349609375,492.1442546110984,481.0433349609375,481.0433349609375,481.0433349609375,980.0,6705.0,486.59379478601795,481.0433349609375,464.3917675292021,451.81080410446134,0
