year,open,high,low,close,volume,weekday_Friday,weekday_Monday,weekday_Tuesday,weekday_Wednesday,weekday_Thursday,weekday_Sunday,pre_open,pre_open_2,pre_high,pre_high_2,pre_low,pre_low_2,pre_close,pre_close_2,pre_vol,pre_vol_2,pre_average,pre_average_2,average,tomorrows_average,target
2015,615.758387870395,615.758387870395,597.0874633789062,597.0874633789062,781658,0,0,1,0,0,0,624.141181418623,628.7137421084823,627.9515588245604,630.618931027547,610.835330380374,620.8948409460995,611.947998046875,624.5222778320312,416491.0,385199.0,618.044589732749,626.6180099702567,606.4229256246506,603.5652329930426,0
2015,603.1841769235853,605.447524082608,597.9258403558276,603.9462890625,743617,0,0,0,1,0,0,615.758387870395,624.141181418623,615.758387870395,627.9515588245604,597.0874633789062,610.835330380374,597.0874633789062,611.947998046875,781658.0,416491.0,606.4229256246506,618.044589732749,603.5652329930426,609.4713453758136,1
2015,607.3756131149084,611.948103279209,605.0893376236886,611.5670776367188,453541,0,0,0,0,1,0,603.1841769235853,615.758387870395,605.447524082608,615.758387870395,597.9258403558276,597.0874633789062,603.9462890625,597.0874633789062,743617.0,781658.0,603.5652329930426,606.4229256246506,609.4713453758136,611.3764292723586,1
2015,610.8048604978422,616.1393402116515,607.7565342458408,611.947998046875,404476,1,0,0,0,0,0,607.3756131149084,603.1841769235853,611.948103279209,605.447524082608,605.0893376236886,597.9258403558276,611.5670776367188,603.9462890625,453541.0,743617.0,609.4713453758136,603.5652329930426,611.3764292723586,613.0911292540588,1
2015,615.7583693479613,617.2825326093916,607.3755626372954,610.4238891601562,361651,0,1,0,0,0,0,610.8048604978422,607.3756131149084,616.1393402116515,611.948103279209,607.7565342458408,605.0893376236886,611.947998046875,611.5670776367188,404476.0,453541.0,611.3764292723586,609.4713453758136,613.0911292540588,621.6645112068413,1
2015,611.5669984879015,632.5240751121373,607.3755345085493,631.7620239257812,727759,0,0,1,0,0,0,615.7583693479613,610.8048604978422,617.2825326093916,616.1393402116515,607.3755626372954,607.7565342458408,610.4238891601562,611.947998046875,361651.0,404476.0,613.0911292540588,611.3764292723586,621.6645112068413,620.9024719271797,0
2015,624.9033935613907,627.189669248451,609.6618800110929,616.9015502929688,621922,0,0,0,1,0,0,611.5669984879015,615.7583693479613,632.5240751121373,617.2825326093916,607.3755345085493,607.3755626372954,631.7620239257812,610.4238891601562,727759.0,361651.0,621.6645112068413,613.0911292540588,620.9024719271797,617.0920636125368,0
2015,620.7118982211674,620.7118982211674,601.2789226476986,613.4722290039062,652549,0,0,0,0,1,0,624.9033935613907,611.5669984879015,627.189669248451,632.5240751121373,609.6618800110929,607.3755345085493,616.9015502929688,631.7620239257812,621922.0,727759.0,620.9024719271797,621.6645112068413,617.0920636125368,618.6162491069766,1
2015,614.996353194422,624.5223598590616,612.7101991730353,622.2361450195312,591846,1,0,0,0,0,0,620.7118982211674,624.9033935613907,620.7118982211674,627.189669248451,601.2789226476986,609.6618800110929,613.4722290039062,616.9015502929688,652549.0,621922.0,617.0920636125368,620.9024719271797,618.6162491069766,625.474878908513,1
2015,624.9033100631198,629.8568256323459,622.6170954996832,626.0464477539062,518026,0,1,0,0,0,0,614.996353194422,620.7118982211674,624.5223598590616,620.7118982211674,612.7101991730353,601.2789226476986,622.2361450195312,613.4722290039062,591846.0,652549.0,618.6162491069766,617.0920636125368,625.474878908513,625.2843906190749,0
2015,629.4758246951809,629.4758246951809,620.7119309038088,621.0929565429688,433035,0,0,1,0,0,0,624.9033100631198,614.996353194422,629.8568256323459,624.5223598590616,622.6170954996832,612.7101991730353,626.0464477539062,622.2361450195312,518026.0,591846.0,625.474878908513,618.6162491069766,625.2843906190749,618.806583021594,0
2015,618.0445014924067,621.8548787292801,616.5203384340319,619.5686645507812,327332,0,0,0,1,0,0,629.4758246951809,624.9033100631198,629.4758246951809,629.8568256323459,620.7119309038088,622.6170954996832,621.0929565429688,626.0464477539062,433035.0,518026.0,625.2843906190749,625.474878908513,618.806583021594,621.6645761051127,1
2015,621.0930071906943,625.6654976878986,618.8067315330203,622.2361450195312,491585,0,0,0,0,1,0,618.0445014924067,629.4758246951809,621.8548787292801,629.4758246951809,616.5203384340319,620.7119309038088,619.5686645507812,621.0929565429688,327332.0,433035.0,618.806583021594,625.2843906190749,621.6645761051127,629.0947538602909,1
2015,629.8568050838632,631.380968349142,626.0464273297334,628.3327026367188,492788,1,0,0,0,0,0,621.0930071906943,618.0445014924067,625.6654976878986,621.8548787292801,618.8067315330203,616.5203384340319,622.2361450195312,619.5686645507812,491585.0,327332.0,621.6645761051127,618.806583021594,629.0947538602909,626.4275545112587,0
2015,625.6654727920486,628.3327740138192,618.8067069100875,627.1896362304688,411293,0,1,0,0,0,0,629.8568050838632,621.0930071906943,631.380968349142,625.6654976878986,626.0464273297334,618.8067315330203,628.3327026367188,622.2361450195312,492788.0,491585.0,629.0947538602909,621.6645761051127,626.4275545112587,628.9042306347587,1
2015,628.3326922265488,629.4757690429688,624.903279322889,629.4757690429688,1701481,0,0,1,0,0,0,625.6654727920486,629.8568050838632,628.3327740138192,631.380968349142,618.8067069100875,626.0464273297334,627.1896362304688,628.3327026367188,411293.0,492788.0,626.4275545112587,629.0947538602909,628.9042306347587,631.9525061930347,1
2015,628.7136671712257,635.1913452148438,626.046366511573,635.1913452148438,731213,0,0,0,1,0,0,628.3326922265488,625.6654727920486,629.4757690429688,628.3327740138192,624.903279322889,618.8067069100875,629.4757690429688,627.1896362304688,1701481.0,411293.0,628.9042306347587,626.4275545112587,631.9525061930347,634.2387369025729,1
2015,629.4757648207708,639.001708984375,629.0947392178532,639.001708984375,411501,0,0,0,0,1,0,628.7136671712257,628.3326922265488,635.1913452148438,629.4757690429688,626.046366511573,624.903279322889,635.1913452148438,629.4757690429688,731213.0,1701481.0,631.9525061930347,628.9042306347587,634.2387369025729,641.8595091763855,1
2015,644.3362668879272,644.3362668879272,635.1914089039801,639.3827514648438,1138731,1,0,0,0,0,0,629.4757648207708,628.7136671712257,639.001708984375,635.1913452148438,629.0947392178532,626.046366511573,639.001708984375,635.1913452148438,411501.0,731213.0,634.2387369025729,631.9525061930347,641.8595091763855,638.2396652529494,0
2015,642.8120941777739,642.8120941777739,630.6189098328196,633.667236328125,428330,0,1,0,0,0,0,644.3362668879272,629.4757648207708,644.3362668879272,639.001708984375,635.1914089039801,629.0947392178532,639.3827514648438,639.001708984375,1138731.0,411501.0,641.8595091763855,634.2387369025729,638.2396652529494,635.1913414618216,0
2015,632.5241013806744,640.5258824422498,631.4572296754692,637.8585815429688,527546,0,0,1,0,0,0,642.8120941777739,644.3362668879272,642.8120941777739,644.3362668879272,630.6189098328196,635.1914089039801,633.667236328125,639.3827514648438,428330.0,1138731.0,638.2396652529494,641.8595091763855,635.1913414618216,636.5250061406057,1
2015,639.0017334726177,639.0017334726177,633.2862275735548,634.0482788085938,521330,0,0,0,1,0,0,632.5241013806744,642.8120941777739,640.5258824422498,642.8120941777739,631.4572296754692,630.6189098328196,637.8585815429688,633.667236328125,527546.0,428330.0,635.1913414618216,638.2396652529494,636.5250061406057,627.7611098190534,0
2015,625.6654081146693,632.9051380851607,623.3791327843093,629.8568115234375,458669,0,0,0,0,1,0,639.0017334726177,632.5241013806744,639.0017334726177,640.5258824422498,633.2862275735548,631.4572296754692,634.0482788085938,637.8585815429688,521330.0,527546.0,636.5250061406057,635.1913414618216,627.7611098190534,627.3800806497483,0
2015,622.2360524127778,635.5724354311756,622.2360524127778,632.5241088867188,439701,1,0,0,0,0,0,625.6654081146693,639.0017334726177,632.9051380851607,639.0017334726177,623.3791327843093,633.2862275735548,629.8568115234375,634.0482788085938,458669.0,521330.0,627.7611098190534,636.5250061406057,627.3800806497483,626.2369671588463,0
2015,624.9033166419111,629.8568322632864,621.0929387233568,627.5706176757812,700833,0,1,0,0,0,0,622.2360524127778,625.6654081146693,635.5724354311756,632.9051380851607,622.2360524127778,623.3791327843093,632.5241088867188,629.8568115234375,439701.0,458669.0,627.3800806497483,627.7611098190534,626.2369671588463,630.4284475145059,1
2015,626.0464702243243,635.5724760804728,626.0464702243243,634.8104248046875,732355,0,0,1,0,0,0,624.9033166419111,622.2360524127778,629.8568322632864,635.5724354311756,621.0929387233568,622.2360524127778,627.5706176757812,632.5241088867188,700833.0,439701.0,626.2369671588463,627.3800806497483,630.4284475145059,631.9525267057452,1
2015,634.4292843685217,635.1913963976017,629.4757690429688,629.4757690429688,199611,0,0,0,1,0,0,626.0464702243243,624.9033166419111,635.5724760804728,629.8568322632864,626.0464702243243,621.0929387233568,634.8104248046875,627.5706176757812,732355.0,700833.0,630.4284475145059,626.2369671588463,631.9525267057452,629.8567743046024,0
