year,month,weekday,open,high,low,close,volume,pre_open,pre_open_2,pre_high,pre_high_2,pre_low,pre_low_2,pre_close,pre_close_2,pre_vol,pre_vol_2,pre_average,pre_average_2,average,tomorrows_average,target
2010,January,Wednesday,497.58306884765625,497.58306884765625,497.58306884765625,497.58306884765625,10729.0,506.831773212412,477.6057063083581,509.86539233770526,503.7242305926808,506.831773212412,477.6057063083581,497.58306884765625,497.58306884765625,10729.0,13401.0,502.2074210300341,487.5943875780072,497.58306884765625,505.09302276683366,1
2010,January,Thursday,507.0537518324955,507.0537518324955,503.1322937011719,503.1322937011719,6169.0,497.58306884765625,506.831773212412,497.58306884765625,509.86539233770526,497.58306884765625,506.831773212412,497.58306884765625,497.58306884765625,10729.0,10729.0,497.58306884765625,502.2074210300341,505.09302276683366,503.1322937011719,0
2010,January,Friday,503.1322937011719,503.1322937011719,503.1322937011719,503.1322937011719,6169.0,507.0537518324955,497.58306884765625,507.0537518324955,497.58306884765625,503.1322937011719,497.58306884765625,503.1322937011719,497.58306884765625,6169.0,10729.0,505.09302276683366,497.58306884765625,503.1322937011719,503.1322937011719,0
2010,January,Monday,503.1322937011719,503.1322937011719,503.1322937011719,503.1322937011719,6169.0,503.1322937011719,507.0537518324955,503.1322937011719,507.0537518324955,503.1322937011719,503.1322937011719,503.1322937011719,503.1322937011719,6169.0,6169.0,503.1322937011719,505.09302276683366,503.1322937011719,499.4327392578125,0
2010,January,Tuesday,499.4327392578125,499.4327392578125,499.4327392578125,499.4327392578125,6169.0,503.1322937011719,503.1322937011719,503.1322937011719,503.1322937011719,503.1322937011719,503.1322937011719,503.1322937011719,503.1322937011719,6169.0,6169.0,503.1322937011719,503.1322937011719,499.4327392578125,499.76574631955907,1
2010,January,Wednesday,496.3991989379463,496.3991989379463,496.3991989379463,503.1322937011719,3017.0,499.4327392578125,503.1322937011719,499.4327392578125,503.1322937011719,499.4327392578125,503.1322937011719,499.4327392578125,503.1322937011719,6169.0,6169.0,499.4327392578125,503.1322937011719,499.76574631955907,501.2824401855469,1
2010,January,Thursday,501.2824401855469,501.2824401855469,501.2824401855469,501.2824401855469,3017.0,496.3991989379463,499.4327392578125,496.3991989379463,499.4327392578125,496.3991989379463,499.4327392578125,503.1322937011719,499.4327392578125,3017.0,6169.0,499.76574631955907,499.4327392578125,501.2824401855469,495.73320361220846,0
2010,January,Friday,492.0336679666044,492.0336679666044,492.0336679666044,499.4327392578125,1862.0,501.2824401855469,496.3991989379463,501.2824401855469,496.3991989379463,501.2824401855469,496.3991989379463,501.2824401855469,503.1322937011719,3017.0,3017.0,501.2824401855469,499.76574631955907,495.73320361220846,501.2824401855469,1
2010,January,Monday,501.2824401855469,501.2824401855469,501.2824401855469,501.2824401855469,1862.0,492.0336679666044,501.2824401855469,492.0336679666044,501.2824401855469,492.0336679666044,501.2824401855469,499.4327392578125,501.2824401855469,1862.0,3017.0,495.73320361220846,501.2824401855469,501.2824401855469,499.4327392578125,0
2010,January,Tuesday,499.4327392578125,499.4327392578125,499.4327392578125,499.4327392578125,1862.0,501.2824401855469,492.0336679666044,501.2824401855469,492.0336679666044,501.2824401855469,492.0336679666044,501.2824401855469,499.4327392578125,1862.0,1862.0,501.2824401855469,495.73320361220846,499.4327392578125,488.3342410673926,0
2010,January,Wednesday,492.0337165097852,492.0337165097852,492.0337165097852,484.634765625,6705.0,499.4327392578125,501.2824401855469,499.4327392578125,501.2824401855469,499.4327392578125,501.2824401855469,499.4327392578125,501.2824401855469,1862.0,1862.0,499.4327392578125,501.2824401855469,488.3342410673926,484.634765625,0
2010,January,Thursday,484.634765625,484.634765625,484.634765625,484.634765625,6705.0,492.0337165097852,499.4327392578125,492.0337165097852,499.4327392578125,492.0337165097852,499.4327392578125,484.634765625,499.4327392578125,6705.0,1862.0,488.3342410673926,499.4327392578125,484.634765625,480.9352416992188,0
2010,January,Friday,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,6705.0,484.634765625,492.0337165097852,484.634765625,492.0337165097852,484.634765625,492.0337165097852,484.634765625,484.634765625,6705.0,6705.0,484.634765625,488.3342410673926,480.9352416992188,480.9352416992188,0
2010,January,Monday,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,6705.0,480.9352416992188,484.634765625,480.9352416992188,484.634765625,480.9352416992188,484.634765625,480.9352416992188,484.634765625,6705.0,6705.0,480.9352416992188,484.634765625,480.9352416992188,480.9352416992188,0
2010,January,Tuesday,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,6705.0,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,6705.0,6705.0,480.9352416992188,480.9352416992188,480.9352416992188,486.484454303388,1
2010,January,Wednesday,492.0336669075573,492.0336669075573,492.0336669075573,480.9352416992188,980.0,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,480.9352416992188,6705.0,6705.0,480.9352416992188,480.9352416992188,486.484454303388,464.28749388222184,0
2010,January,Thursday,469.8367675495999,469.8367675495999,451.3392694159402,458.73822021484375,40416.0,492.0336669075573,480.9352416992188,492.0336669075573,480.9352416992188,492.0336669075573,480.9352416992188,480.9352416992188,480.9352416992188,980.0,6705.0,486.484454303388,480.9352416992188,464.28749388222184,451.7091778009658,0
2010,January,Friday,450.2293907581816,450.2293907581816,450.2293907581816,453.18896484375,362.0,469.8367675495999,492.0336669075573,469.8367675495999,492.0336669075573,451.3392694159402,492.0336669075573,458.73822021484375,480.9352416992188,40416.0,980.0,464.28749388222184,486.484454303388,451.7091778009658,454.29881648237506,1
2010,February,Monday,455.4086681210001,455.4086681210001,455.4086681210001,453.18896484375,2682.0,450.2293907581816,469.8367675495999,450.2293907581816,469.8367675495999,450.2293907581816,451.3392694159402,453.18896484375,458.73822021484375,362.0,40416.0,451.7091778009658,464.28749388222184,454.29881648237506,453.18896484375,0
2010,February,Tuesday,453.18896484375,453.18896484375,453.18896484375,453.18896484375,2682.0,455.4086681210001,450.2293907581816,455.4086681210001,450.2293907581816,455.4086681210001,450.2293907581816,453.18896484375,453.18896484375,2682.0,362.0,454.29881648237506,451.7091778009658,453.18896484375,453.18896484375,0
2010,February,Wednesday,453.18896484375,453.18896484375,453.18896484375,453.18896484375,2682.0,453.18896484375,455.4086681210001,453.18896484375,455.4086681210001,453.18896484375,455.4086681210001,453.18896484375,453.18896484375,2682.0,2682.0,453.18896484375,454.29881648237506,453.18896484375,447.63972799344515,0
