open,close,average
497.58306884765625,497.58306884765625,497.58306884765625
507.0537518324955,503.1322937011719,505.09302276683366
503.1322937011719,503.1322937011719,503.1322937011719
503.1322937011719,503.1322937011719,503.1322937011719
499.4327392578125,499.4327392578125,499.4327392578125
496.3991989379463,503.1322937011719,499.7657463195591
501.2824401855469,501.2824401855469,501.2824401855469
492.0336679666044,499.4327392578125,495.73320361220846
501.2824401855469,501.2824401855469,501.2824401855469
499.4327392578125,499.4327392578125,499.4327392578125
492.0337165097852,484.634765625,488.3342410673926
484.634765625,484.634765625,484.634765625
480.9352416992188,480.9352416992188,480.9352416992188
480.9352416992188,480.9352416992188,480.9352416992188
480.9352416992188,480.9352416992188,480.9352416992188
492.0336669075573,480.9352416992188,486.484454303388
469.8367675495999,458.73822021484375,464.2874938822218
450.2293907581816,453.18896484375,451.7091778009658
455.4086681210001,453.18896484375,454.2988164823751
453.18896484375,453.18896484375,453.18896484375
453.18896484375,453.18896484375,453.18896484375
443.94019207087473,451.3392639160156,447.6397279934452
440.240716716504,451.3392639160156,445.78999031625983
443.94019171110506,432.8416748046875,438.3909332578963
432.8416748046875,432.8416748046875,432.8416748046875
425.4427096630746,423.5929870605469,424.5178483618107
408.4249910849589,416.5638427734375,412.4944169291982
412.4944152832031,412.4944152832031,412.4944152832031
407.3151260882334,416.19384765625,411.7544868722417
418.7095778003477,416.19384765625,417.4517127282989
416.19384765625,416.19384765625,416.19384765625
417.3037666778076,423.5929870605469,420.4483768691772
432.8416909254882,423.5929870605469,428.2173389930175
425.8126602404003,423.5929870605469,424.7028236504736
419.8935241699219,419.8935241699219,419.8935241699219
423.5929870605469,423.5929870605469,423.5929870605469
425.442626953125,425.442626953125,425.442626953125
428.0322804909527,425.442626953125,426.7374537220388
427.66241312702897,423.5929870605469,425.6277000937879
432.8417181535135,429.1422424316406,430.99198029257707
436.5412292480469,436.5412292480469,436.5412292480469
434.69146728515625,434.69146728515625,434.69146728515625
434.69146728515625,434.69146728515625,434.69146728515625
439.1307961293717,435.0613708496094,437.0960834894905
443.9402182707211,456.8884887695313,450.4143535201262
462.4376476637184,473.53619384765625,467.9869207556873
434.6915211131775,477.2357482910156,455.96363470209656
484.634765625,484.634765625,484.634765625
484.6348042291346,517.9302978515625,501.28255104034855
529.0287708400589,521.6296997070312,525.329235273545
517.9302978515625,517.9302978515625,517.9302978515625
512.0110904286314,503.502197265625,507.7566438471282
513.1209246561643,508.6814575195313,510.9011910878478
506.8317565917969,506.8317565917969,506.8317565917969
508.3114272905382,509.7912292480469,509.0513282692925
517.9303123043464,527.1791381835938,522.5547252439701
537.9076453761919,527.1791381835938,532.5433917798928
519.1879930848635,523.4794311523438,521.3337121186037
527.1791381835938,527.1791381835938,527.1791381835938
530.878444264335,527.5489501953125,529.2136972298238
529.398699932731,523.4794311523438,526.4390655425374
510.531323011866,506.8317565917969,508.6815398018314
